Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/22/2023,11/23/2023,MAVERIK #538,Gas,Sale,-1.80,
11/20/2023,11/20/2023,Payment Thank You-Mobile,,Payment,163.81,
11/18/2023,11/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
11/18/2023,11/19/2023,APPLE.COM/BILL,Shopping,Sale,-5.99,
11/15/2023,11/16/2023,HARMONS-SANTA CLARA,Groceries,Sale,-4.54,
11/15/2023,11/16/2023,HARMONS-SANTA CLARA,Groceries,Sale,-27.95,
11/15/2023,11/16/2023,HARMONS-SANTA CLARA,Groceries,Sale,-1.08,
11/15/2023,11/16/2023,HARMONS-SANTA CLARA,Groceries,Sale,-6.92,
11/15/2023,11/15/2023,Spotify USA,Bills & Utilities,Sale,-10.99,
11/11/2023,11/12/2023,HARMONS-SANTA CLARA,Groceries,Sale,-87.00,
11/06/2023,11/07/2023,WWW.DIGNIT* DIGNITY HE,Health & Wellness,Return,25.00,
11/07/2023,11/07/2023,Red Rock Dry Cleaners,Personal,Sale,-41.36,
11/05/2023,11/06/2023,GOOGLE *Google Storage,Professional Services,Sale,-1.49,
11/05/2023,11/06/2023,GOOGLE *Google Storage,Shopping,Sale,-1.49,
11/05/2023,11/05/2023,Payment Thank You - Web,,Payment,341.39,
10/30/2023,10/31/2023,SANTA CRUZ TOYOTA.,Automotive,Sale,-229.38,
10/27/2023,10/27/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
10/25/2023,10/26/2023,CVS CarePass,Health & Wellness,Sale,-5.00,
10/24/2023,10/25/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-25.00,
10/24/2023,10/25/2023,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-30.00,
10/22/2023,10/23/2023,HARMONS-SANTA CLARA,Groceries,Sale,-5.67,
10/22/2023,10/23/2023,HARMONS-SANTA CLARA,Groceries,Sale,-41.35,
10/22/2023,10/23/2023,Payment Thank You-Mobile,,Payment,19.97,
10/19/2023,10/20/2023,SNACK SODA VENDING,Food & Drink,Sale,-2.10,
10/18/2023,10/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
10/18/2023,10/19/2023,APPLE.COM/BILL,Shopping,Sale,-5.99,
10/17/2023,10/18/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-6.89,
10/17/2023,10/17/2023,Payment Thank You - Web,,Payment,59.97,
10/14/2023,10/16/2023,LIN'S SUPERMARKETS,Groceries,Sale,-53.61,
10/14/2023,10/15/2023,AH'SYA,Food & Drink,Sale,-18.00,
10/15/2023,10/15/2023,Spotify USA,Bills & Utilities,Sale,-10.99,
10/14/2023,10/15/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
10/14/2023,10/15/2023,HARMONS-SANTA CLARA,Groceries,Sale,-9.25,
10/14/2023,10/15/2023,DOLLAR TREE,Shopping,Sale,-11.87,
10/13/2023,10/13/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,53.75,
10/13/2023,10/13/2023,Payment Thank You-Mobile,,Payment,115.20,
10/06/2023,10/08/2023,USPS PO 4994180780,Shopping,Sale,-5.00,
10/06/2023,10/08/2023,WAL-MART #1439,Groceries,Sale,-82.69,
10/06/2023,10/08/2023,WM SUPERCENTER #1439,Groceries,Sale,-27.51,
09/30/2023,10/01/2023,The Adobe Icebox,Food & Drink,Sale,-17.83,
09/30/2023,10/01/2023,Payment Thank You-Mobile,,Payment,42.80,
09/30/2023,10/01/2023,SQ *EL TARASCO MEXICAN FO,Food & Drink,Sale,-9.97,
09/28/2023,09/29/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/25/2023,09/26/2023,CVS CarePass,Health & Wellness,Sale,-5.00,
09/25/2023,09/25/2023,Payment Thank You-Mobile,,Payment,530.98,
09/23/2023,09/24/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-10.67,
09/23/2023,09/24/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/22/2023,09/24/2023,FAMILY DOLLAR,Shopping,Sale,-30.02,
09/23/2023,09/24/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-6.40,
09/22/2023,09/24/2023,RED MOUNTAIN MARKET,Groceries,Sale,-13.30,
09/20/2023,09/21/2023,SQ *FEELLOVE COFFEE AT SN,Food & Drink,Sale,-6.69,
09/18/2023,09/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
09/19/2023,09/20/2023,PAYPAL *CRAFTYINTEN,Shopping,Sale,-6.00,
09/18/2023,09/19/2023,APPLE.COM/BILL,Shopping,Sale,-5.99,
09/17/2023,09/18/2023,HARMONS-SANTA CLARA,Groceries,Sale,-28.61,
09/17/2023,09/18/2023,HARMONS-SANTA CLARA,Groceries,Sale,-5.07,
09/16/2023,09/17/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/17/2023,09/17/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/05/2023,09/15/2023,UNITED      0168017960589,Travel,Sale,-204.80,
09/15/2023,09/15/2023,Spotify USA,Bills & Utilities,Sale,-10.99,
09/11/2023,09/12/2023,APPLE.COM/BILL,Shopping,Sale,-11.99,
09/08/2023,09/10/2023,HARMONS-SANTA CLARA,Groceries,Sale,-53.79,
09/08/2023,09/10/2023,HARMONS-SANTA CLARA,Groceries,Sale,-18.67,
09/06/2023,09/07/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
09/06/2023,09/07/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
09/05/2023,09/07/2023,TST* Zacharys Restaurant,Food & Drink,Sale,-53.00,
09/05/2023,09/06/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/05/2023,09/06/2023,Payment Thank You-Mobile,,Payment,1604.22,
09/04/2023,09/05/2023,HERNANDEZ MARKET #2,Groceries,Sale,-9.09,
09/02/2023,09/03/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
09/01/2023,09/03/2023,82858 - TERMINAL A EMPLOY,Travel,Sale,-18.00,
09/01/2023,09/03/2023,SAV ON GASOLINE INC,Gas,Sale,-40.00,
08/31/2023,09/03/2023,ST GEORGE  SHUTTLE,Travel,Sale,-28.00,
08/30/2023,08/31/2023,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-30.00,
08/31/2023,08/31/2023,PAYPAL *LYNNWOLLCOM,Shopping,Sale,-17.85,
08/25/2023,08/27/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
08/25/2023,08/27/2023,WM SUPERCENTER #1439,Groceries,Sale,-92.13,
08/26/2023,08/27/2023,ST GEORGE  SHUTTLE,Travel,Sale,-95.80,
08/25/2023,08/27/2023,SPIRIT AIRL 4870360987669,Travel,Sale,-53.78,
08/25/2023,08/27/2023,PETCO 1112    63511125,Shopping,Sale,-24.54,
08/20/2023,08/23/2023,ASIAN CHAO - ATLANTA H,Food & Drink,Sale,-13.52,
08/20/2023,08/22/2023,SPIRIT AIRL 4870360376877,Travel,Sale,-157.89,
08/21/2023,08/22/2023,PAYRANGE MOBILE,Bills & Utilities,Sale,-10.00,
08/20/2023,08/21/2023,KWIK SERV 10,Gas,Sale,-35.39,
08/19/2023,08/21/2023,SOUTHWES    5262478656146,Travel,Return,5.60,
08/18/2023,08/20/2023,SPIRIT AIRL 4870360080477,Travel,Sale,-193.89,
08/19/2023,08/20/2023,WAL-MART #669,Groceries,Sale,-39.22,
08/18/2023,08/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
08/17/2023,08/20/2023,HUDSON ST2045,Shopping,Sale,-7.89,
08/15/2023,08/17/2023,ST GEORGE  SHUTTLE,Travel,Sale,-39.90,
08/16/2023,08/17/2023,UWORLD,Education,Sale,-620.99,
08/15/2023,08/16/2023,FREI'S  FRUIT MARKET,Groceries,Sale,-6.44,
08/15/2023,08/16/2023,ST GEORGE  SHUTTLE,Travel,Sale,-65.90,
08/14/2023,08/15/2023,APPLE.COM/BILL,Shopping,Sale,-5.99,
08/15/2023,08/15/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
08/12/2023,08/13/2023,WM SUPERCENTER #1439,Groceries,Sale,-84.87,
08/13/2023,08/13/2023,PAYPAL *EVACARUSU CART,Professional Services,Sale,-5.73,
08/09/2023,08/10/2023,SNACK SODA VENDING,Food & Drink,Sale,-2.10,
08/08/2023,08/08/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,119.56,
08/08/2023,08/08/2023,Payment Thank You-Mobile,,Payment,244.99,
08/06/2023,08/07/2023,Temu.com,Shopping,Sale,-53.74,
08/04/2023,08/06/2023,Temu.com,Shopping,Return,25.53,
08/04/2023,08/06/2023,FAMILY DOLLAR #11372,Shopping,Sale,-21.73,
08/04/2023,08/06/2023,RED MOUNTAIN MARKET,Groceries,Sale,-29.81,
08/01/2023,08/02/2023,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
07/28/2023,07/30/2023,FAMILY DOLLAR #11372,Shopping,Sale,-26.33,
07/30/2023,07/30/2023,PATHOMA LLC,Shopping,Sale,-114.75,
07/28/2023,07/30/2023,RED MOUNTAIN MARKET,Groceries,Sale,-23.06,
07/27/2023,07/27/2023,Payment Thank You-Mobile,,Payment,1089.56,
07/25/2023,07/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
07/23/2023,07/25/2023,Temu.com,Shopping,Sale,-11.47,
07/22/2023,07/24/2023,TARGET        00013573,Shopping,Return,3.42,
07/22/2023,07/23/2023,Temu.com,Shopping,Sale,-33.21,
07/21/2023,07/23/2023,TARGET        00013573,Shopping,Sale,-61.45,
07/22/2023,07/23/2023,WM SUPERCENTER #1439,Groceries,Sale,-4.64,
07/20/2023,07/23/2023,7-ELEVEN 26701,Gas,Sale,-3.29,
07/22/2023,07/23/2023,WAL-MART #1439,Groceries,Sale,-19.83,
07/20/2023,07/23/2023,SHELL OIL10052314019,Gas,Sale,-48.98,
07/22/2023,07/23/2023,WAL-MART #1439,Groceries,Sale,-105.24,
07/21/2023,07/23/2023,ERNIES TOO SINCLAIR,Gas,Sale,-90.00,
07/21/2023,07/23/2023,DOLLAR TREE,Shopping,Sale,-8.01,
07/19/2023,07/20/2023,AMERIPAK,Gas,Sale,-48.19,
07/19/2023,07/20/2023,ACE HARDWARE 17713,Home,Sale,-21.84,
07/19/2023,07/20/2023,ACE HARDWARE 17713,Home,Return,24.02,
07/19/2023,07/20/2023,ACE HARDWARE 17713,Home,Sale,-24.02,
07/20/2023,07/20/2023,LYFT   *1 RIDE 07-18,Travel,Sale,-13.89,
07/18/2023,07/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
07/17/2023,07/19/2023,COMPANION ANIMAL HOSPITAL,Personal,Sale,-400.14,
07/18/2023,07/19/2023,WESTSIDE PHARMACY &amp; GIFTS,Health & Wellness,Sale,-1.77,
07/18/2023,07/19/2023,SAV ON GASOLINE INC,Gas,Sale,-64.32,
07/17/2023,07/18/2023,CVS/PHARMACY #09331,Health & Wellness,Sale,-13.10,
07/17/2023,07/18/2023,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
07/16/2023,07/17/2023,HERNANDEZ MARKET #2,Groceries,Sale,-11.42,
07/16/2023,07/17/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
07/16/2023,07/17/2023,SQ *UME SANTA CRUZ,Food & Drink,Sale,-16.81,
07/14/2023,07/16/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
07/13/2023,07/16/2023,SOUTHWES    5262478656146,Travel,Sale,-11.20,
07/15/2023,07/16/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
07/12/2023,07/13/2023,SAV ON GASOLINE INC,Gas,Sale,-35.22,
07/12/2023,07/13/2023,SQ *BIG MUG COFFEE ROASTE,Food & Drink,Sale,-6.00,
07/11/2023,07/12/2023,THE ORIGINAL FALAFELS DRI,Food & Drink,Sale,-12.50,
07/10/2023,07/10/2023,Payment Thank You-Mobile,,Payment,10024.11,
07/07/2023,07/09/2023,TACO BELL 30740,Food & Drink,Sale,-8.18,
07/08/2023,07/09/2023,ROCKY VISTA UNIVERSITY,Education,Sale,-10000.00,
07/07/2023,07/09/2023,THE UPS STORE 1128,Personal,Sale,-15.93,
07/07/2023,07/09/2023,Payment Thank You-Mobile,,Payment,649.28,
07/04/2023,07/06/2023,TST* Zacharys Restaurant,Food & Drink,Sale,-46.00,
07/05/2023,07/06/2023,PAYRANGE MOBILE,Food & Drink,Sale,-25.00,
07/04/2023,07/05/2023,AMERIPAK,Gas,Sale,-30.00,
07/03/2023,07/05/2023,SJ OMOGARI,Food & Drink,Sale,-34.91,
07/02/2023,07/04/2023,EINSTEINBROS_MOBILE,Food & Drink,Sale,-37.16,
07/02/2023,07/03/2023,BENGONG'S TEA,Food & Drink,Sale,-6.41,
06/29/2023,07/02/2023,ALASKA AIR  0272339457619,Travel,Sale,-30.00,
06/28/2023,06/30/2023,ALASKA AIR  0272339273937,Travel,Sale,-419.80,
06/28/2023,06/29/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
06/27/2023,06/28/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
06/27/2023,06/27/2023,Payment Thank You-Mobile,,Payment,278.19,
06/25/2023,06/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
06/25/2023,06/25/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-2.79,
06/20/2023,06/25/2023,OOKINIZAIDAN,Shopping,Sale,-93.29,
06/18/2023,06/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
06/18/2023,06/19/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
06/14/2023,06/16/2023,ROTTEN ROBBIE #33,Gas,Sale,-31.79,
06/14/2023,06/15/2023,SPEEDWAY 01474 161 FRAZIE,Gas,Sale,-38.50,
06/14/2023,06/15/2023,THE UPS STORE 6582,Personal,Sale,-7.37,
06/15/2023,06/15/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
06/13/2023,06/14/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
06/12/2023,06/13/2023,CVS/PHARMACY #09331,Health & Wellness,Sale,-15.60,
06/11/2023,06/12/2023,SQ *PHILZ COFFEE,Food & Drink,Sale,-6.15,
06/11/2023,06/12/2023,DAILY BAGEL CAFE,Food & Drink,Sale,-9.91,
06/10/2023,06/11/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
06/09/2023,06/11/2023,HARMONS-SANTA CLARA,Groceries,Sale,-4.41,
06/07/2023,06/08/2023,Swig Santa Clara,Food & Drink,Sale,-4.09,
06/07/2023,06/08/2023,HARMONS-SANTA CLARA,Groceries,Sale,-11.27,
06/07/2023,06/08/2023,HARMONS-SANTA CLARA,Groceries,Sale,-7.56,
06/05/2023,06/05/2023,Payment Thank You-Mobile,,Payment,691.43,
06/03/2023,06/04/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
05/30/2023,05/31/2023,ENTERPRISE RENT-A-CAR,Travel,Sale,-104.68,
05/29/2023,05/31/2023,SHELL OIL12437022010,Gas,Sale,-14.10,
05/30/2023,05/30/2023,Swig Tabernacle,Food & Drink,Sale,-3.02,
05/26/2023,05/28/2023,THE MARKETPLACE,Gas,Sale,-27.28,
05/27/2023,05/28/2023,RITE AID 05658,Health & Wellness,Sale,-10.76,
05/27/2023,05/28/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
05/26/2023,05/28/2023,AVIS RENTAL LICENSE,Travel,Sale,-103.93,
05/25/2023,05/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
05/24/2023,05/26/2023,SOUTHWES    5262457594227,Travel,Sale,-238.96,
05/21/2023,05/23/2023,FAMILY DOLLAR #11372,Shopping,Sale,-10.99,
05/21/2023,05/22/2023,RED MOUNTAIN MARKET,Groceries,Sale,-17.40,
05/20/2023,05/22/2023,DELTA AIR   0062111522624,Travel,Sale,-104.40,
05/18/2023,05/21/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
05/18/2023,05/19/2023,TST* Iceberg Drive In - S,Food & Drink,Sale,-20.44,
05/18/2023,05/19/2023,Payment Thank You-Mobile,,Payment,56.09,
05/18/2023,05/19/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
05/15/2023,05/15/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
05/12/2023,05/14/2023,COSTCO WHSE #0672,Shopping,Sale,-3.22,
05/12/2023,05/14/2023,WM SUPERCENTER #1439,Groceries,Sale,-29.50,
05/11/2023,05/11/2023,PAYPAL *DRAIGUNA,Professional Services,Sale,-5.00,
05/07/2023,05/08/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,22.08,
05/07/2023,05/07/2023,Payment Thank You-Mobile,,Payment,187.05,
05/05/2023,05/07/2023,RED MOUNTAIN MARKET,Groceries,Sale,-16.27,
05/05/2023,05/07/2023,FAMILY DOLLAR #11372,Shopping,Sale,-14.19,
05/01/2023,05/02/2023,PAYRANGE MOBILE,Food & Drink,Sale,-25.00,
05/01/2023,05/02/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
04/30/2023,05/01/2023,COSTCO WHSE #0672,Shopping,Sale,-50.25,
04/30/2023,05/01/2023,WAL-MART #1439,Groceries,Sale,-51.95,
04/29/2023,04/30/2023,AH'SYA,Food & Drink,Sale,-22.00,
04/25/2023,04/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
04/24/2023,04/25/2023,The Adobe Icebox,Food & Drink,Sale,-7.37,
04/19/2023,04/20/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
04/18/2023,04/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
04/17/2023,04/17/2023,Payment Thank You-Mobile,,Payment,823.13,
04/14/2023,04/16/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
04/14/2023,04/16/2023,FAMILY DOLLAR #11372,Shopping,Sale,-10.87,
04/14/2023,04/16/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
04/14/2023,04/16/2023,RED MOUNTAIN MARKET,Groceries,Sale,-11.35,
04/12/2023,04/12/2023,PAYPAL *SELLER-ONLN CART,Shopping,Sale,-4.00,
04/11/2023,04/12/2023,EXOTICCA TRAVEL US,Travel,Sale,-284.00,
04/09/2023,04/11/2023,FAMILY DOLLAR #11372,Shopping,Sale,-11.51,
04/09/2023,04/10/2023,RED MOUNTAIN MARKET,Groceries,Sale,-28.28,
04/09/2023,04/10/2023,RED MOUNTAIN MARKET,Groceries,Sale,-22.14,
04/09/2023,04/09/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
04/04/2023,04/05/2023,EXOTICCA TRAVEL US,Travel,Sale,-426.00,
04/04/2023,04/04/2023,Payment Thank You-Mobile,,Payment,84.58,
04/01/2023,04/03/2023,THE HEARTY BEET,Food & Drink,Sale,-9.16,
04/01/2023,04/02/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
03/30/2023,04/02/2023,SNACK SODA VENDING,Food & Drink,Sale,-3.20,
03/31/2023,04/02/2023,FAMILY DOLLAR #11372,Shopping,Sale,-33.43,
03/31/2023,04/02/2023,RED MOUNTAIN MARKET,Groceries,Sale,-25.09,
03/26/2023,03/27/2023,SNACK SODA VENDING,Food & Drink,Sale,-3.70,
03/27/2023,03/27/2023,Payment Thank You-Mobile,,Payment,446.80,
03/25/2023,03/26/2023,HARMONS-SANTA CLARA,Groceries,Sale,-42.82,
03/25/2023,03/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
03/25/2023,03/26/2023,HARMONS-SANTA CLARA,Groceries,Sale,-15.68,
03/23/2023,03/24/2023,ROCKY VISTA HEALTH CENTER,Health & Wellness,Sale,-30.00,
03/18/2023,03/20/2023,TST* Zacharys Restaurant,Food & Drink,Sale,-34.17,
03/18/2023,03/20/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
03/17/2023,03/19/2023,TST* PHO HOA &amp; JAZEN TEA,Food & Drink,Sale,-30.78,
03/18/2023,03/19/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
03/16/2023,03/17/2023,SAV ON GASOLINE INC,Gas,Sale,-30.00,
03/16/2023,03/17/2023,SQ *BIG MUG COFFEE ROASTE,Food & Drink,Sale,-6.00,
03/15/2023,03/16/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
03/15/2023,03/16/2023,SQ *THE COFFEE CUP,Food & Drink,Sale,-12.56,
03/15/2023,03/15/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
03/14/2023,03/15/2023,SQ *BIG MUG COFFEE ROASTE,Food & Drink,Sale,-3.11,
03/14/2023,03/15/2023,SQ *BIG MUG COFFEE ROASTE,Food & Drink,Sale,-5.40,
03/14/2023,03/15/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
03/14/2023,03/15/2023,SANTA CRUZ GROCERY,Groceries,Sale,-70.85,
03/14/2023,03/15/2023,KATRINA 1 INC,Food & Drink,Sale,-27.16,
03/13/2023,03/15/2023,ARCO #42357,Gas,Sale,-35.00,
03/13/2023,03/14/2023,PETRO SANTA NELLA,Gas,Sale,-38.07,
03/11/2023,03/13/2023,SHELL OIL 10010592003,Gas,Sale,-6.48,
03/11/2023,03/12/2023,JACK IN THE BOX 0423,Food & Drink,Sale,-3.26,
03/11/2023,03/12/2023,Payment Thank You-Mobile,,Payment,53.33,
03/10/2023,03/12/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
03/07/2023,03/07/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
03/03/2023,03/05/2023,HARMONS-SANTA CLARA,Groceries,Sale,-7.47,
02/27/2023,02/28/2023,PAYRANGE MOBILE,Food & Drink,Sale,-10.00,
02/25/2023,02/26/2023,CVS CarePass,Health & Wellness,Sale,-5.49,
02/21/2023,02/23/2023,UTAH MEDICAL ASSOCIATI,Personal,Sale,-8.33,
02/19/2023,02/21/2023,FAMILY DOLLAR #11372,Shopping,Sale,-26.71,
02/20/2023,02/20/2023,Payment Thank You-Mobile,,Payment,180.00,
02/19/2023,02/20/2023,RED MOUNTAIN MARKET,Groceries,Sale,-14.60,
02/18/2023,02/19/2023,JTI*TWITCHTV SUB SRVCS,Bills & Utilities,Sale,-4.99,
02/15/2023,02/15/2023,Spotify USA,Bills & Utilities,Sale,-9.99,
02/14/2023,02/15/2023,APPLE.COM/BILL,Shopping,Sale,-4.99,
02/14/2023,02/14/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,7.50,
02/12/2023,02/14/2023,FAMILY DOLLAR #11372,Shopping,Sale,-32.50,
02/12/2023,02/13/2023,RED MOUNTAIN MARKET,Groceries,Sale,-9.59,
02/09/2023,02/10/2023,SNACK SODA VENDING,Food & Drink,Sale,-1.60,
02/09/2023,02/10/2023,SNACK SODA VENDING,Food & Drink,Sale,-1.85,
02/04/2023,02/06/2023,FAMILY DOLLAR #11372,Shopping,Sale,-31.59,
02/04/2023,02/05/2023,PAYPAL *MICHIA82 CART,Professional Services,Sale,-1.99,
02/04/2023,02/05/2023,RED MOUNTAIN MARKET,Groceries,Sale,-10.96,
02/01/2023,02/03/2023,SOUTHWES    5262415601784,Travel,Sale,-11.20,
